Description|Ingredient Type|_NDB__NO_|Weight|Measure|Volume|Density|Energy|Protein|Fat|Carbohydrates|Fiber|Sugars|Calcium|Iron|Sodium|Fatty acids|Cholesterol|Vitamin C
Milk, canned, evaporated, added vitamin D|liquid|"01096"|31.5|1.0 fl oz||1.07|42|2.15|2.38|3.16|0|--|82|0.06|33|1.446|9|0.6
Milk, canned, evaporated, nonfat, added vitamins A and D|liquid|"01097"|31.9|1.0 fl oz||1.08|25|2.41|0.06|3.62|0|--|93|0.09|37|0.039|1|0.4
Milk, canned, sweetened condensed|liquid|"01095"|38.2|1.0 fl oz||1.29|123|3.02|3.32|20.78|0|--|108|0.07|49|2.096|13|1
Milk, chocolate, fluid, reduced fat|liquid|"01103"|250|1.0 cup|236.588|1.0566892657|190|7.48|4.75|30.32|1.8|23.88|272|0.6|165|2.942|20|0
Milk, chocolate, whole|liquid|"01102"|250|1.0 cup|236.588|1.0566892657|208|7.92|8.48|25.85|2|23.85|280|0.6|150|5.26|30|2.2
Milk, lowfat, 1% milkfat|liquid|"01084"|246|1.0 cup|236.588|1.0397822375|118|9.67|2.88|13.58|0|--|349|0.15|143|1.791|10|3
Milk, nonfat|liquid|"01087"|246|1.0 cup|236.588|1.0397822375|101|9.74|0.62|13.68|0|--|352|0.15|145|0.399|5|2.7
Milk, nonfat dry|bulk dry|"01091"|120|1.0 cup|236.588|0.5072108475|434|43.39|0.92|62.38|0|--|1508|0.38|642|0.599|24|8.2
Milk, reduced fat, 2% milkfat|liquid|"01081"|246|1.0 cup|236.588|1.0397822375|138|9.72|4.87|13.51|0|12.94|352|0.15|145|3.031|20|2.7
Milk, sheep|liquid|"01109"|245|1.0 cup|236.588|1.0355554804|265|14.65|17.15|13.13|0|--|473|0.24|108|11.277|66|10.3
Milk, whole|liquid|"01078"|244|1.0 cup|236.588|1.0313287234|156|8|8.93|11.35|0|--|290|0.12|120|5.558|34|3.7
Molasses|sweeteners||20|1.0 tablespoon|14.79|1.3522650439|58|0|0|14.9|0|11.1|||7|0|0|
MORI-NU, Tofu, silken, firm|viscous "liquid"|"16162"|84|1.0 slice||1.07|52|5.8|2.27|2.02|0.1|1.07|27|0.87|30|0.341|--|0
Natural cocoa|bulk dry||5|1.0 tablespoon||0.35|12|1.1|0.7|2.9|1.8|0.1|1%|4%|1|0.4||
Nuts, almond butter, plain, with salt added|mix-ins|"12695"|16|1.0 tbsp|14.79|1.0818120352|98|3.35|8.88|3.01|1.6|1|56|0.56|36|1.048|--|0
Nuts, chestnuts, european, raw, unpeeled|mix-ins|"12097"|145|1.0 cup|236.588|0.6128797741|309|3.51|3.28|66.03|11.7|--|39|1.46|4|0.616|0|62.4
Nuts, coconut cream, canned, sweetened|liquid|"12116"|19|1.0 tbsp|14.79|1.2846517918|68|0.22|3.1|10.11|0|9.78|1|0.02|7|2.94|--|0
Nuts, coconut meat, dried (desiccated), not sweetened|mix-ins|"12108"|28.35|1.0 oz||0.35|187|1.95|18.29|6.7|4.6|2.08|7|0.94|10|16.221|0|0.4
Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged|mix-ins|"12109"|85|1.0 cup|236.588|0.3592743503|388|2.66|23.79|44.07|8.4|31.24|9|1.28|242|22.437|--|0
Nuts, hazelnuts or filberts pieces|mix-ins|"12120"|115|1.0 cup|236.588|0.4860770622|722|17.19|69.86|19.2|11.2|4.99|131|5.4|0|5.134|0|7.2
Nuts, mixed nuts, oil roasted, with peanuts, lightly salted|mix-ins|"12737"|28.35|1.0 oz||0.588|172|5.68|15.29|5.97|2|1.18|33|0.74|46|2.47|0|0.1
Nuts, whole almonds, dry roasted, no salt|mix-ins|"12063"|138|1.0 cup|236.588|0.5832924747|825|28.92|72.51|28.99|15|6.71|370|5.15|4|5.647|--|0
Oat bran|bulk dry||24|0.25 cup|59.147|0.405768678|58|4.075|1.65|15.55|3.625|0.35|1%|7%|1|0.3||
Oat flour|bulk dry||30|0.25 cup|59.147|0.5072108475|120|4|2|21|3|0|2%|8%||0.5||
Oat flour, partially debranned|bulk dry|"20132"|104|1.0 cup|236.588|0.4395827345|420|15.25|9.48|68.33|6.8|0.83|57|4.16|20|1.671|--|0
Oil, canola|fats|"04582"|14|1.0 tbsp|14.79|0.9465855308|124|0|14|0|--|--|0|--|--|1.031|--|0
Oil, cocoa butter|fats|"04501"|13.6|1.0 tablespoon|14.79|0.9195402299|120|0|13.6|0|--|--|0|--|--|8.119|--|0
Oil, olive|fats|"04053"|13.5|1.0 tablespoon|14.79|0.9127789047|119|0|13.5|0|--|--|0|0.08|0|1.864|--|0
Oil, safflower, linoleic, (over 70%)|fats|"04510"|13.6|1.0 tbsp|14.79|0.9195402299|120|0|13.6|0|--|--|0|--|--|0.844|--|0
Oil, sunflower, high oleic (70% and over)|fats|"04584"|14|1.0 tbsp|14.79|0.9465855308|124|0|14|0|--|--|0|--|--|1.38|--|0
Olive oil|fats||15|1.0 tablespoon|14.79|1.014198783|120|0|14|0|0|0||||2|0|
Olives, canned|mix-ins|"09193"|8.4|1.0 tbsp|14.79|0.5679513185|10|0.07|0.9|0.53|0.3|0|7|0.28|62|0.119|0|0.1
Orange juice, calcium-fortified|liquid|"09211"|249|1.0 cup|236.588|1.0524625087|117|1.69|0.3|28.06|0.7|20.69|349|0.32|5|0.035|0|83.7
Orange juice, fortified calcium and vitamin D|liquid|"09210"|249|1.0 cup|236.588|1.0524625087|117|1.69|0.3|28.06|0.7|20.69|349|0.32|5|0.035|0|83.7
Orange juice, frozen concentrate, unsweetened, undiluted|liquid|"09214"|284|1.0 cup|236.588|1.2003990059|452|6.79|0.6|108.4|2.3|106.13|91|0.99|9|0.068|0|391.6
Orange peel, raw|mix-ins|"09216"|6|1.0 tbsp|14.79|0.4056795132|6|0.09|0.01|1.5|0.6|--|10|0.05|0|0.001|0|8.2
Oranges, raw, California, valencias|fruit|"09201"|180|1.0 cup|236.588|0.7608162713|88|1.87|0.54|21.4|4.5|--|72|0.16|0|0.063|0|87.3
Papayas, pieces|fruit|"09226"|145|1.0 cup|236.588|0.6128797741|62|0.68|0.38|15.69|2.5|11.34|29|0.36|12|0.117|0|88.3
Parsley|small volume dry|||1.0 teaspoon||0.11|1|0.1|0|0.2|0.1|0||2%|1|0|0|1%
Passion-fruit, (granadilla), raw|fruit|"09231"|236|1.0 cup|236.588|0.9975146668|229|5.19|1.65|55.18|24.5|26.43|28|3.78|66|0.139|0|70.8
Pastry flour|bulk dry||30|0.25 cup|59.147|0.5072108475|100|3|0.5|22|4|0||8%||||
Peaches, canned with extra heavy syrup|fruit|"09242"|262|1.0 cup|236.588|1.1074103505|252|1.23|0.08|68.28|2.6|--|8|0.76|21|0.008|0|3.1
Peaches, canned with light syrup|fruit|"09240"|251|1.0 cup|236.588|1.0609160228|136|1.13|0.08|36.52|3.3|33.26|8|0.9|13|0.008|0|6
Peanuts, dry-roasted, no salt|mix-ins|"16390"|146|1.0 cup|236.588|0.6171065312|854|34.57|72.5|31.4|11.7|6.1|79|3.3|9|10.064|--|0
Pears, canned with light syrup|fruit|"09256"|251|1.0 cup|236.588|1.0609160228|143|0.48|0.08|38.08|4|30.37|13|0.7|--|0.005|0|1.8
Pears, slices|fruit|"09252"|140|1.0 cup|236.588|0.5917459888|80|0.5|0.2|21.32|4.3|13.65|13|0.25|1|0.031|0|6
Persimmons, 2-1/2" diameter|fruit|"09263"|168|1.0 fruit||#DIV/0!|118|0.97|0.32|31.23|6|21.05|13|0.25|2|0.034|0|12.6
Plantains, mashed cooked|viscous "liquid"|"09278"|200|1.0 cup|236.588|0.8453514126|232|1.58|0.36|62.3|4.6|28|4|1.16|10|0.138|0|21.8
Pomegranate juice, bottled|liquid|"09442"|249|1.0 cup|236.588|1.0524625087|134|0.37|0.72|32.69|0.2|31.5|27|0.25|22|0.192|0|0.2
Potato starch|small volume dry||42|0.25 cup|65.897|0.6373583016|163|0.05|0|34|0|0|1%|3%|3|0|0|
Powdered sugar|sweeteners||30|0.25 cup|59.147|0.5072108475|120|0|0|30|0|29|||0|0|0|
Quinoa|bulk dry||43|0.25 cup|59.147|0.7270022148|157|6|2.575|27.275|2.975|0|2%|11%|2|0.3||
Quinoa flour|bulk dry||28|0.25 cup|59.147|0.473396791|110|4|1.5|18|2|0|1%|7%|8|0||
Rapid-rise/bread machine yeast|small volume dry||4|1.0 teaspoon|4.92892|0.8115368073|0|0|0|0|0|0|||0|0|0|16%
Rice flour, brown|bulk dry|"20090"|158|1.0 cup|236.588|0.6678276159|574|11.42|4.39|120.84|7.3|1.34|17|3.13|13|0.88|--|0
Rice, white, cooked with salt|bulk dry|"20545"|158|1.0 cup|236.588|0.6678276159|205|4.25|0.44|44.51|0.6|0.08|16|0.32|604|0.122|--|0
Rolled oats|bulk dry||40|0.5 cup|118.294|0.338140565|150|5|3|27|4|1||11%||0.5||
